Question_ID,Year,Subject,Topic,Question_Text,Option_A,Option_B,Option_C,Option_D,Current_Answer,Correct_Answer,Explanation,Mnemonic,Tags,Notes
16,2018,General Medicine,,Most common valve involved in Carcinoid syndrome is: (a)  (b)  (c),Mitral valve,Tricuspid valve,Aortic valve,Pulmonary valve,A,,,,,
17,2018,General Medicine,,A 70 year old man reports to the emergency with acute chest pain. ECG shows inferior wall Myocardial Infarction (MI). He has recently been discharged 7 days back following thrombolysis with streptokin,"Aspirin, Sublingual nitroglycerin, Clopidogrel, Primary PCI","Aspirin, Sublingual nitroglycerin, Clopidogrel, Streptokinase","Aspirin, Sublingual nitroglycerin, Clopidogrel, Heparin","Aspirin, Sublingual nitroglycerin, Clopidogrel, Beta blockers",A,,,,cardiology,
18,2018,General Medicine,,The presence of a fusion beat on an Electrocardiogram is diagnostic of: (a)  (b)  (c),Atrial Fibrillation,Ventricular Tachycardia,Supraventricular Tachycardia,Sinus Bradycardia,A,,,,,
19,2018,General Medicine,,"A 64 year old man presents with chest pain of 24 hours duration. His ECG reveals ST elevation, Anterior Wall Myocardial Infarction. The preferred treatment modality for him is: (a)  (b)  (c)",Primary percutaneous coronary intervention,Thrombolysis with Alteplase,Thrombolysis with Streptokinase,"Nitroglycerin infusion , Aspirin and Beta blockers",A,,,,cardiology,
20,2018,General Medicine,,The preferred anti hypertensive drug for a 74 year old male with benign prostatic hypertrophy is: (a)  (b)  (c),Amlodepine,Hydrochlorothiazide,Prazosin,Atenolol,A,,,,,
21,2018,General Medicine,,The treatment of choice for a 32 year old male patient of severe mitral stenosis (Rheumatic) with thickened and calcified valves on echocardiography is: (a)  (b)  (c)  (d) Mitral valvotomy,Balloon valvuloplasty,Mitral valve replacement,Medical management only,,A,,,,,
22,2018,General Medicine,,Which one of the following is an example of Type-IV respiratory failure? (a)  (b)  (c),Bronchial asthma,Pulmonary embolism,COPD,Shock,A,,,,,
23,2018,General Medicine,,All of the following are seen in Polyarteritis Nodosa EXCEPT: (a)  (b)  (c),Glomerulonephritis,Peripheral Neuropathy,Bowel Infarction,Pericarditis,A,,,,,
24,2018,General Medicine,,All of the following are the pointers to organic cause of psychiatric disease EXCEPT: (a)  (b)  (c),Late age of onset of psychiatric illness,No previous history of psychiatric illness,Family history of psychiatric illness,No apparent psychological precipitant,A,,,,,
25,2018,General Medicine,,All of the following are Long Acting Beta Agonists (LABA) EXCEPT: (a)  (b)  (c)  (d) Indacaterol,Levo salbutamol,Salmeterol,Formoterol,,A,,,,,
26,2018,General Medicine,,Deficiency of which immune function results in tubercular infections? (a)  (b)  (c),Defective phagocytic function,Defect in T cell function,Defect in B cell function,Defect in antibody productivity,A,,,,,
27,2018,General Medicine,Community Acquired Pneumonia (CAP),The most common agent responsible for community acquired pneumonia is: (a)  (b)  (c),Streptococcus pneumoniae,Mycoplasma pneumoniae,Staphylococcus aureus,Legionella haemophilia,A,,Most common cause of community-acquired pneumonia is Streptococcus pneumoniae. It remains the leading typical bacterial pathogen in adults.,CAP classic: S-pneumo Starts the list.,"community acquired pneumonia, pneumonia etiology, respiratory infections, streptococcus pneumoniae, typical pneumonia",
28,2018,General Medicine,,"A 26 year old woman presents with fever, arthralgia and erythema nodosum. Her chest X-ray reveals bilateral hilar lymphadenopathy. Her mantoux test is negative. The most likely diagnosis is: (a)  (b) ",Tuberculosis,Allergic bronchopulmonary aspergillosis,Sarcoidosis,Pulmonary thromboembolism,A,,,,,
29,2018,General Medicine,,Pleural fluid LDH/serum LDH < 0.6 Select the correct answer using the code given below: (a)  (b)  (c),1 and 3,1 and 4,2 and 3,2 and 4,A,,,,,
30,2018,General Medicine,,All of the following are seen in Whipple’s disease EXCEPT: (a)  (b)  (c),Weight loss,Migratory arthropathy,Dementia,Hemolytic anemia,A,,,,,
31,2018,General Medicine,,"A middle aged patient with chronic liver disease presents with pain abdomen and distension. He also has diarrhoea and fever since one day. On examination, he is hemodynamically stable with fever of 10",Spontaneous bacterial peritonitis,Secondary bacterial peritonitis,Perforation peritonitis,T B peritonitis,A,,,,,
32,2018,General Medicine,,Herald patch followed by rash is characteristic of: (a)  (b)  (c),Psoriasis,Lichen planus,Pityriasis rosea,Dermatophytosis,A,,,,,
33,2018,General Medicine,,A young male comes to the OPD with history of jaundice since many years. He has noted that the jaundice may fluctuate but is often aggravated when he is fasting. There is no history of hospitalisation,Dubin Johnson syndrome,Crigler Najjar syndrome type-I,Gilbert’s syndrome,Rotor syndrome,A,,,,,
34,2018,General Medicine,,All of the following are causes of anemia in a case of chronic kidney disease EXCEPT: (a)  (b)  (c),Decreased red blood cell survival,Hemoglobinopathy,Erythropoietin deficiency,Gastrointestinal blood loss,A,,,,hematology,
35,2018,General Medicine,,Characteristic feature of upper motor neuron lesion includes: (a)  (b)  (c),Fasciculations,Hyporeflexia,Clonus,Muscle wasting,C,,"The characteristic features of upper motor neuron (UMN) lesions include clonus, hyperreflexia, spasticity, and positive Babinski sign. Clonus is rhythmic muscle contractions occurring with sustained stretch. Fasciculations and muscle wasting are features of lower motor neuron lesions.","CLONUS mnemonic: C-Clonus, L-Loss of inhibition, O-Overactive reflexes, N-No muscle wasting initially, U-Upper motor damage, S-Spasticity.","Upper Motor Neuron, Neurological Examination, Clonus, Spasticity, Pyramidal Signs",
36,2018,General Medicine,,Which one of the following arteries is involved in causation of lateral medullary syndrome? (a)  (b)  (c),Anterior superior cerebellar artery,Anterior inferior cerebellar artery,Posterior superior cerebellar artery,Posterior inferior cerebellar artery,A,,,,,
37,2018,General Medicine,,"A right handed 70 year old man has a brain scan which reveals a lesion that has damaged his left angular and supramarginal gyrus. On examination, one would expect the following EXCEPT: (a)  (b)  (c)",Difficulty with left to right discrimination,Inappropriate affect,Finger agnosia,Inability to write,A,,,,,
38,2018,General Medicine,Community Acquired Pneumonia (CAP),Total iron binding capacity of more than 360 µg/dl is seen in anemia due to: (a)  (b)  (c),Chronic inflammation,Hemoglobinopathies,Sideroblastic anemia,Iron deficiency anaemia,A,,Most common cause of community-acquired pneumonia is Streptococcus pneumoniae. It remains the leading typical bacterial pathogen in adults.,CAP classic: S-pneumo Starts the list.,"community acquired pneumonia, hematology, pneumonia etiology, respiratory infections, streptococcus pneumoniae, typical pneumonia",
39,2018,General Medicine,Community Acquired Pneumonia (CAP),Escape behaviour with paroxysmal occurrence is seen in: (a)  (b)  (c),Phobic disorder,Anxiety disorder,Obsessive compulsive disorder,Panic disorder,A,,Most common cause of community-acquired pneumonia is Streptococcus pneumoniae. It remains the leading typical bacterial pathogen in adults.,CAP classic: S-pneumo Starts the list.,"community acquired pneumonia, pneumonia etiology, respiratory infections, streptococcus pneumoniae, typical pneumonia",
40,2018,General Medicine,,Warfarin anticoagulation Select the correct answer using the code given below: (a)  (b)  (c),1 and 4,1 and 3,2 and 3,2 and 4,A,,,,,
41,2018,General Medicine,,Syndrome X includes: (a)  (b)  (c),"Hyperlipidemia, Obesity, Type-2 DM","Obesity, CAD, COPD","Hyperlipidemia, Hyperuricemia with CAD","Hyponatremia, Hyperlipidemia with type-2 DM",A,,,,,
42,2018,Pediatrics,,Growth hormone secretion is inhibited by: (a)  (b)  (c),Arginine,Glucose,Clonidine,L-Dopa,A,,,,,
43,2018,General Medicine,,Which one of the following drugs causes hypercalcemia? (a)  (b)  (c)  (d)  (a) Glargine (b) Degludec (c) Glulisine (d) Detemir,Phenytoin,Heparin,Lithium,"Furosemide
29
All of the following insulins are longer acting EXCEPT:",A,,,,,
44,2018,General Medicine,,The presence of vitiligo on examination suggests an associated: (a)  (b)  (c),Autoimmune disease,Degenerative disease,Infection,Malignancy,A,,,,,
45,2018,General Medicine,,A mildy elevated TSH ( 5-20 mU/L) along with a normal T3 and normal T4 levels is suggestive of : (a)  (b)  (c),Primary hypothyroidism,Subclinical hypothyroidism,Artefact,Thyroid hormone resistance,A,,,,,
46,2018,General Medicine,,Which one of the following suggests patient to be prediabetic? (a)  (b)  (c),"HbA1c 5.6%, FPG 126 mg/dL","HbA1c 6%, FPG 130 mg/dL","HbA1c 6.2%, FPG 105 mg/dL","HbA1c 6.6%, FPG 115 mg/dL",A,,,,,
47,2018,General Medicine,,Cutaneous manifestations of tuberculosis includes: (a)  (b)  (c),Erythema nodosum and lupus vulgaris,Erythema marginatum and lupus vulgaris,Phyctenular conjunctivitis and erythema multiforme,Pyoderma gangrenosum and Dactylitis,A,,,,infectious diseases,
48,2018,General Medicine,,Treatment of scrub typhus is: (a)  (b)  (c),Ciprofloxacin,Clindamycin,Penicillin,Azithromycin,A,,,,,
49,2018,General Medicine,,Which one of the following is NOT correct regarding Clostridum tetani? (a)  (b)  (c),Anaerobic,Non motile,Gram positive,Spore bearing,A,,,,,
50,2018,General Medicine,,All of the following are extrapulmonary manifestations of mycoplasma infection EXCEPT: (a)  (b)  (c),Arthritis,Guillain Barre syndrome,Stevens Johnson syndrome,Dementia,A,,,,,
51,2018,General Medicine,,A ‘slapped cheek rash’ is characteristic of infection with: (a)  (b)  (c),Rubella,Parvovirus B19,Human herpesvirus 6,Measles,A,,,,,
52,2018,General Medicine,,A 34 week pregnant nurse comes in contact with a patient with chickenpox at her workplace. She has never had chickenpox in the past and is unvaccinated.  (a)  (b)  (c)  (d) Wait and watch,Varicella zoster immunoglobulin to be given within 7 days,Vaccinate for chicken pox,Start oral acyclovir,The best option for her is:,A,,,,,
53,2018,General Medicine,,Which one of the following has the maximum diagnostic sensitivity for Leishmaniasis? (a)  (b)  (c),Splenic aspirate,Bone marrow aspirate,Ascitic fliud aspirate,Lymph node aspirate,A,,,,,
54,2018,General Medicine,,Which one of the following statements regarding cryptosporidiosis is NOT correct? (a)  (b)  (c),Infection is acquired by feco-oral route,It is usually a mild self limiting illness in immunocompetent patient,In HIV infected persons it is a serious opportunistic infection,Treatment is with metronidazole,A,,,,,
55,2018,Pediatrics,,"All of the following are live attenuated s EXCEPT: (a) MMR(Measles, Mumps, Rubella)  (b) Rabies  (c) Oral polio  (d) BCG",vaccine,Rabies vaccine,Oral polio vaccine,,A,,,,,
56,2018,General Medicine,,All of the following are soil transmitted nematodes EXCEPT: (a)  (b)  (c),Ancyclostoma duodenale,Strongyloides stercoralis,Necator americanus,Ascaris lumbricoides,A,,,,,
57,2018,General Medicine,,Rabies immune globulin at wound site Select the correct answer using the code given below: (a)  (b)  (c),1 only,1 and 2 only,"1, 2 and 3","2, 3 and 4",A,,,,,
58,2018,General Medicine,,Loffler’s syndrome is caused due to infection by: (a)  (b)  (c),Strongyloidiasis,Filariasis,Cysticercosis,Ascaris,A,,,,,
59,2018,General Medicine,,Hepatitis Select the correct answer using the code given below: (a)  (b)  (c),1 only,1 and 2 only,"1, 2 and 3",2 only,A,,,,,
60,2018,General Medicine,,Clostridium infection Select the correct answer using the code given below: (a)  (b)  (c),"1, 2 and 4 only","2, 3 and 4 only",1 and 3 only,"1, 2, 3 and 4",A,,,,,
61,2018,General Medicine,,Antifungal agent of choice for the treatment of mucormycosis is: (a)  (b)  (c),Voriconazole,Intraconazole,Amphotericin-B,Fluconazole,A,,,,,
62,2018,General Medicine,,What drug therapy would be appropriate for management of UTI in a pregnant patient? (a)  (b)  (c),Trimethoprim-sulfamethoxazole,Ciprofloxacin,Ampicillin,All of these,A,,,,,
63,2018,General Medicine,,Which one of the following conditions is NOT associated with lymphocytosis? (a)  (b)  (c),Infectious mononucleosis,Viral fevers,Rickettsial fevers,Leptospirosis,A,,,,,
64,2018,General Medicine,,Which of the following is NOT a diagnostic criterion of Kwashiorkor? (a)  (b)  (c),Serum albumin < 2.8 g/dl,Triceps skinfold thickness < 3 mm,Easy hair pluckability,Edema,A,,,,,
65,2018,General Medicine,,Which one of the following drugs does NOT have any action against Salmonella typhi? (a)  (b)  (c),Erythromycin,Amoxicillin,Co-trimoxazole,Doxycycline,A,,,,,
66,2018,General Medicine,,All of the following drugs are used for the treatment of influenza EXCEPT: (a)  (b)  (c),Zanamivir,Rimantadine,Oseltamivir,Tenofovir,A,,,,,
67,2018,General Medicine,,Diagnostic accuracy has been enhanced by the ability to detect specific DNA sequences in all of the following infectious micro-organisms EXCEPT: (a)  (b)  (c),Cytomegalovirus(CMV),Human Immunodeficiency virus (HIV),Mycobacterium tuberculosis,Staphylococcus aureus,A,,,,,
68,2018,General Medicine,,Hip Flexor Spasm is characteristic of: (a)  (b)  (c),Osteomyelitis femur,Septic arthritis hip joint,Psoas abscess,Deep vein thrombosis,A,,,,,
69,2018,General Medicine,,Gastroenteritis associated with eating raw eggs is usually attributed to: (a)  (b)  (c),E.coli,Noro virus,Salmonella species,Clostriduim botulinum,A,,,,,
70,2018,General Medicine,,Which one of the following diseases is NOT caused by protozoa? (a)  (b)  (c)  (d)  (a) Needle Biopsy of the Pleura (b) Pleural Fluid Xpert MTB/RIF assay (c) Pleural Fluid AFB smear (d) Pleural Fluid A,Trypanosomiasis,Leishmaniasis,Amoebiasis,"Schistosomiasis
57
An adult with fever and right sided chest pain is found to have a moderate right sided pleural
effusion. Chest X-Ray (PA view) also shows a moderate pleural effusion. A diagnostic
thoracocentesis reveals straw coloured exudates with 50 mg% of sugar and lymphocytic
pleocytosis. ADA levels are borderline. What investigation would be most likely to confirm a
diagnosis of tuberculosis?",A,,,,,
71,2018,General Medicine,,Cerebrospinal fluid may show mild pleocytosis with increase polymorphonuclear cells in early course of disease Which of the above statements are correct? (a)  (b)  (c),"1, 2 and 3","2, 3 and 4","1, 2 and 4","1, 3 and 4",A,,,,,
72,2018,General Medicine,,Which one of the following is NOT seen in case of Marasmus? (a)  (b)  (c),Reduced triceps skinfold thickness,Normal serum albumin,Easy hair pluckability,Decreased mid arm circumference,A,,,,,
73,2018,General Medicine,,Perception of an object in absence of stimulus is: (a)  (b)  (c),Illusions,Delusions,Hallucination,Psychosis,A,,,,,
74,2018,General Medicine,,All of the following drugs can be used for the treatment for cessation of smoking EXCEPT: (a)  (b)  (c),Nicotine gum,Clonazepam,Bapropion,Varenicline,A,,,,,
75,2018,General Medicine,,All of the following features are present in Organophosphorus poisoning EXCEPT: (a)  (b)  (c),Bronchorrhea,Hypertonia,Confusion,Fasciculations,A,,,,,
76,2018,General Medicine,,Small sized pupils are seen in poisoning with all EXCEPT: (a)  (b)  (c),Organophosphorous compounds,Opioids,Clonidine,Cocaine,A,,,,,
77,2018,General Medicine,,"A 24 year old male presents with consumption of an unknown substance. His respiratory rate is 22/minute, pulse rate is 110/minute, BP is 150/94 mmHg and he has 2 episodes of seizures. There are tremor",Amphetamines,Diazepam,Oxycodone,Ethanol,A,,,,neurology,
78,2018,General Medicine,,The toxic effects of aluminium phosphide is due to the release of: (a)  (b)  (c),Phosgene,Chlorine,Inorganic phosphates,Phosphine,A,,,,,
79,2018,General Medicine,,An 18 year old boy was brought to the emergency department after being bitten by a saw- scaled viper. The monitoring which is most crucial in this patient is: (a)  (b)  (c),Single breath count,Neck flop,Whole blood clotting time,Creatine phosphokinase,A,,,,,
80,2018,General Medicine,,Bite of cobra is likely to result in: (a)  (b)  (c),Flaccid paralysis,Coagulopathy,Myolysis,Cardiotoxicity,A,,,,,
81,2018,General Medicine,,Hematuria is a prominent symptom with infection due to: (a)  (b)  (c),Strongyloides stercoralis,Schistosoma hematobium,Toxocara spp.,Gnathostomiasis,A,,,,,
82,2018,General Medicine,,Bite of the Tsetse Fly transmits: (a)  (b)  (c),Leishmaniasis,Chaga’s disease,Dengue fever,African Trypanosomiasis,A,,,,,
83,2018,General Medicine,,A 60 year old man with pneumonia is unconscious and has a PaO of 50 mm Hg. The 2 preferred modality of treatment for him is: (a)  (b)  (c),Oxygen through nasal cannula,Non invasive ventilation,Invasive mechanical ventilation,No respiratory support is indicated,A,,,,,
84,2018,General Medicine,,Oliguria is defined as a reduction in urine output (a)  (b)  (c),Less than 1 ml/kg/hour,Less than 0.5 ml/kg/hour,Less than 200 ml in 24 hours,Any decrease over previous urine output,A,,,,,
85,2018,General Medicine,,All of the following are signs of Brain death EXCEPT: (a)  (b)  (c),Pupils fixed and unresponsive to light,Corneal reflexes absent,Bilateral planter response – Mute or Absent,No gag reflex,A,,,,,
86,2018,General Medicine,,"A 35 year old man with history of alcoholism presents with ophthalmoplegia, ataxia and global confusion. The treatment of choice for this patient is: (a)  (b)  (c)",I.V. Glucose,I.V. Thiamine,I.V. Mannitol,I.V. Immunoglobulin,A,,,,,
87,2018,General Medicine,,Most common form of paroxysmal supraventricular Tachycardia is: (a)  (b)  (c),Junctional Ectopic Tachycardia,AV Nodal Reentry Tachycardia (ANVRT),Accessory Pathways,Accelerated junctional rhythm,A,,,,,
88,2018,General Medicine,,The primary therapeutic intervention in symptomatic Sino atrial node dysfunction is: (a)  (b)  (c),I.V. Atropine,I.V. Isoprenaline,Permanent pacemaker,I.V. Theophylline,A,,,,,
89,2018,General Medicine,,Obliterative bronchiolitis Select the correct answer using the code given below: (a)  (b)  (c),1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,,,,
90,2018,General Medicine,,Which one of the following is used to distinguish narrowing of large airway from small airway? (a)  (b)  (c),Peak expiratory flow rate is measured,Flow/ volume loops are recorded,Forced expiratory volume in one second is measured,Flow/time loops are recorded,A,,,,,
91,2018,General Medicine,,The most common cause of chronic relapsing diarrhoea is: (a)  (b)  (c),Inflammatory bowel disease,Coeliac disease,Microscopic colitis,Irritable bowel syndrome,A,,,,,
92,2018,General Medicine,,The most common cause of severe acute lower gastrointestinal bleeding is: (a)  (b)  (c),Angiodysplasia of colon,Diverticular disease,Ischaemia of bowel,Inlammatory bowel disease,A,,,,,
93,2018,General Medicine,,Risk scoring system used to stratify the patients of acute upper gastrointestinal bleeding to predict the need for intervention to treat bleeding is: (a)  (b)  (c),Modified Blatchford score,Modified Child Pugh score,Balthazar score,Meld score,A,,,,,
94,2018,General Medicine,,Corkscrew hairs are seen due to deficiency of: (a)  (b)  (c),Vitamin A,Vitamin E,Vitamin K,Vitamin C,A,,,,,
95,2018,General Medicine,,Nephrotic syndrome in children with atypical features Select the correct answer using the code given below: (a)  (b)  (c),1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,,,,
96,2018,General Medicine,,Myeloma Select the correct answer using the code given below: (a)  (b)  (c),1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,,,,,
97,2018,General Medicine,,Presence of Dysmorphic Erythrocytes in urine analysis is suggestive of: (a)  (b)  (c),Pyelonephritis,Nephritis,Renal stone disease,Renal tract infection,A,,,,,
98,2018,General Medicine,,Syndrome of Inappropriate ADH secretion (SIADH) is usually associated with: (a)  (b)  (c),Small cell lung cancer,Squamous cell lung cancer,Large cell lung cancer,Adenocarcinoma lung cancer,A,,,,,
99,2018,General Medicine,,"A silent, resonant Hemithorax on examination is suggestive of: (a)  (b)  (c)",Large Pleural effusion,Pneumothorax,Bronchial asthma,Consolidation,A,,,,,
100,2018,General Medicine,,Gower’s sign is positive in: (a)  (b)  (c),Peroneal muscle atrophy,Duchenne’s dystrophy,Friedreich ataxia,Cerebellar disease,A,,,,,
101,2018,General Medicine,,All of the following are the indications of renal replacement therapy EXCEPT: (a)  (b)  (c),Metabolic Acidosis (pH < 7.25),Hypercalcemia,Hyperkalemia ( K+ > 6 mmol/L),Fluid overload,A,,,,,
102,2018,General Medicine,,All of the bacterial diseases are exotoxin-mediated EXCEPT: (a)  (b)  (c),Botulism,Diphtheria,Typhoid,Tetanus,A,,,,,
103,2018,General Medicine,,The following substances can cause dilated pupils EXCEPT: (a)  (b)  (c),Tricyclic Antidepressants,Cocaine,Clonidine,Amphetamines,A,,,,,
104,2018,General Medicine,,Which one of the following drugs can cause Pulmonary Eosinophilia? (a)  (b)  (c),Nitrofurantoin,Valproate,Enalapril,Amoxycillin,A,,,,,
105,2018,General Medicine,,CA 19-9 is a tumour marker used for the diagnosis of: (a)  (b)  (c),Lung cancer,Prostate cancer,Ovarian cancer,Pancreatic cancer,A,,,,,
106,2018,General Medicine,,Tinea versicolor is caused by: (a)  (b)  (c),Candida albicans,Trichophyton,Streptococci,Malassezia furfur,A,,,,,
107,2018,General Medicine,,Osborn wave in ECG is characteristic of: (a)  (b)  (c),Hypothyroidism,Hypovolemia,Hypothermia,Hypocalcemia,A,,,,,
108,2018,General Medicine,,Disease modifying agent of choice for the peripheral manifestations of ankylosing spondylitis is: (a)  (b)  (c),Methotrexate,Hydroxychloroquine,Sulfasalazine,Leflunomide,A,,,,,
109,2018,General Medicine,,Drug of choice for treating hypertensive emergency in a case of Aortic dissection is: (a)  (b)  (c),Phentolamine,Prazosin,Nitroprusside,Amlodipine,A,,,,,
110,2018,General Medicine,,"A 5 year old boy is brought to the Emergency Room following a crushing injury. The ECG reveals peaked T waves, prolonged PR interval and widened QRS complexes. Which of the following treatments should",Sodium bicarbonate infusion,Intravenous bolus procainamide,Insulin infusion,Intravenous magnesium sulphate,A,,,,,
111,2018,General Medicine,,"A child with Acute Lymphoblastic Leukemia is started on chemotherapy. After 2 days he develops vomiting, decreased urine output abdominal pain and tetanic spasms. The ECG reveals QT prolongation. Whic",Normal maintenance intravenous fluid,Oral phosphate binders,Intravenous rasburicase,None of these,A,,,,,
112,2018,Pediatrics,,Which of the following treatment modalities is NOT recommended for worsening respiratory distress in a child suspected to be suffering from acute croup? (a)  (b)  (c),Sedation,Intravenous antibiotics,Nebulised racemic epinephrine,Intramuscular dexamethasone,A,,,,,
113,2018,Pediatrics,,Which of the following developmental skills will you expect a child to have acquired by 9 months? (a)  (b)  (c),Cruising around the furniture,Mature pincer grasp,Waves ‘bye-bye’,Refers to mother as ‘ma-ma’,A,,,,,
114,2018,Pediatrics,,Which of the following is physiological in a term neonate? (a)  (b)  (c),Hypotonia,Erythema toxicum,Jaundice at 20 hours of life,Direct serum bilirubin level = 3.0 mg/dL,A,,,,,
115,2018,Pediatrics,,"A preterm neonate undergoes the initial steps of resuscitation. The clinician observes that the baby is breathing, has a heart rate of 80/minute and the baby is pink. What will be the next immediate s",Administering intravenous epinephrine,Chest compressions,Positive pressure ventilation,Supplemental oxygen,A,,,,,
116,2018,Pediatrics,,"A child is able to copy a triangle, names 4 colours, dresses and undresses easily and is able to skip. What is the likely age of this child? (a)  (b)  (c)",30 months,36 months,48 months,60 months,A,,,,,
117,2018,Pediatrics,,Which of the following will be considered to be a ‘RED FLAG’ in child development? (a)  (b)  (c),No vocalization by 4 months,Unable to sit without support by 10 months,Unable to walk independently by 15 months,Unable to speak a single word with meaning by 15 months,A,,,,,
118,2018,General Medicine,,Turpentine oil ingestion Select the correct answer using the codes given below: (a)  (b)  (c),1 and 2,2 and 3,3 and 4,4 and 1,A,,,,,
119,2018,Pediatrics,,"A 10-year old girl is brought to the emergency following a road traffic accident. The child is comatose with GCS score of 4. She is hypertensive, has bradycardia and extensor posturing. CT imaging rev",Head of bed elevation,Mechanical ventilation,Intravenous dexamethasone,Hypertonic saline administration,A,,,,,
120,2018,Pediatrics,,A 3-year old boy is brought with complaints of staying aloof. He also has delayed speech. Rest of the developmental milestones were attained normally. The most likely diagnosis is: (a)  (b)  (c),Selective mutism,Attention deficit hyperactivity disorder,Autism,Phonological disorder,A,,,,,
121,2018,Pediatrics,,Which of the following statements regarding HPV (Human Papilloma Virus) vaccine is NOT true? (a)  (b)  (c),It can be safely administered in pregnancy,The recommended age for initiation of vaccination is 10–12 years,"Catch up vaccination may be permitted up to 26 years of age, provided the woman is
not sexually active",The vaccine is administered intramuscularly in deltoid region,A,,,,,
122,2018,Pediatrics,,A 6-year old boy comes to the immunization clinic having received all vaccines as per schedule till 18 months of age. Which vaccine should be administered now? (a)  (b)  (c),DTPw booster,TdaP booster,DT booster,TT booster,A,,,,,
123,2018,Pediatrics,,“Time-out” strategy is used for management of children having: (a)  (b)  (c)  (d)  (a) Japanese Encephalitis vaccine (b) Measles vaccine (c) Hepatitis A vaccine (d) Haemophilus influenza type B vaccin,Tics,Temper tantrums,Stuttering,"Breath holding spells
111
All of the following are included in the ‘Mission Indradhanush’ EXCEPT:",A,,,,,
124,2018,General Medicine,,Which of the following is the best mode of management of a newborn born to a mother with Hepatitis B infection? (a)  (b)  (c),Hepatitis B Immunoglobulin (HBIG) and Hepatitis B vaccine at birth,1 and monotherapy with Infection,1 and monotherapy with Lamivudine,1 and monotherapy with Adefovir,A,,,,,
125,2018,General Medicine,,At what age should a lateral neck radiograph be done for a child with Downs syndrome to rule out atlanto-occipital subluxation? (a)  (b)  (c),At birth,At 1 year,At 2 years,At 3 years,A,,,,,
126,2018,Pediatrics,,Which X ray will be used to evaluate the bone age (skeletal age)of a term newborn at birth? (a)  (b)  (c),Wrist,Shoulder,Knee,Elbow,A,,,,,
127,2018,General Medicine,,Which of the following permanent tooth eruption event has close correlation with menarche? (a)  (b)  (c),First premolar,First molar,Second premolar,Second molar,A,,,,,
128,2018,General Medicine,,Which one of the following is NOT a component of the ‘4 Ds’ that are the focus of the Rashtriya Bal Suraksha Karyakram’(RBSK)? (a)  (b)  (c),Deficit,Disease,Deficiency,Developmental delay,A,,,,,
129,2018,General Medicine,,"In which one of the following age groups is the highest rate of drowning observed, worldwide? (a)  (b)  (c)",Less than 1 year,1–4 years,4–10 years,10–15 years,A,,,,,
130,2018,Pediatrics,,Which of the following is the recommended initial intravenous therapy in a 2-year old child with Severe Acute Malnutrition with Severe Dehydration and Shock? (a)  (b)  (c),Ringer Lactate(R) at the rate of 30 mL/kg over first 30 minutes,"Half-normal saline (N/2) in 5% dextrose at the rate of 15 mL/kg over first 60
minutes",Normal saline(NS) at the rate of 20 mL/kg over the first 30 minutes,N/5 saline with 5% dextrose at the rate of 30 mL/kg over first 60 minutes,A,,,,,
131,2018,General Medicine,,A female carrier for hemophilia A gene gets married to a genetically normal male. What are the chances of her delivering a male offspring with hemophilia? (a)  (b)  (c) 5 (d) 10,0%,25%,50%,100%,A,,,,,
132,2018,General Medicine,,What is the definition of ‘Cold stress’ in a newborn as measured by the axillary temperature? (a)  (b)  (c),35.0 – 35.5 °C,35.0 – 36.0 °C,35.5 – 36.5 °C,36.0 – 36.4 °C,A,,,,,
133,2018,Surgery,,What are the characteristics of ideal health indicators? (a)  (b)  (c),"They should be valid, reliable, sensitive, specific, feasible and relevant","They should be mainly valid, reliable and sensitive but need not be specific","They should be mainly valid, reliable and feasible but need not be sensitive","They should be mainly valid, reliable and relevant but need not be feasible",A,,,,,
