Question_ID,Year,Subject,Topic,Question_Text,Option_A,Option_B,Option_C,Option_D,Current_Answer,Correct_Answer,Explanation,Mnemonic,Tags,Notes
134,2018,Surgery,,Which one of the following statements regarding predictive value of a positive test is true? (a)  (b)  (c),It does not tell about diagnostic power of test,"The more prevalent the disease, the less accurate the test is",It tells the probability that a patient with positive test has the disease in question,"It tells the probability that a patient with positive test does not have the disease in
question",A,,,,,
135,2018,Preventive & Social Medicine,,The yield of a screening test CAN NOT be increased by which of the following? (a)  (b)  (c),Including entire population,Including high risk population,Improved sensitivity,Improved specificity,A,,,,,
136,2018,Surgery,,Which one of the following statements regarding the growth chart is NOT true? (a)  (b)  (c),It is used as a tool for growth monitoring and diagnosis,It is used for planning and policy making,It is used as tool for action against the Anganwadi worker,It is used as tool for teaching and evaluation of effectiveness of programme,A,,,,,
137,2018,Surgery,,Flattening of the growth curve in the growth chart signifies: (a)  (b)  (c),Child is on a healthy path,Child is severely malnourished,Child is showing signs of growth failure,Child does not need special care,A,,,,,
138,2018,Surgery,,Common source – point exposure Select the correct answer using the codes given below: (a)  (b)  (c),1 and 2 only,3 only,"1, 2 and 3",2 only,A,,,,,
139,2018,Surgery,,Which one of the following experiments/ trials is NOT a part of non-randomized trial? (a)  (b)  (c),Uncontrolled trial,Risk factor trial,Natural experiment,Before and after comparison studies,A,,,,,
140,2018,Surgery,,What is the relative risk of developing tuberculosis among tobacco users as per the information given below? Tobacco user Tuberculosis Total Yes No Yes 40 80 120 No 10 70 80 Total 50 150 200 (a)  (b) ,0.48,1.33,2.67,3.90,A,,,,infectious diseases,
141,2018,Surgery,,What is the attributable risk of tobacco for developing tuberculosis as per the information given below? Tobacco users Tuberculosis Total Present Absent Yes 40 80 120 No 10 70 80 Total 50 150 200 (a) ,50.5%,62.5%,70.6%,80.6%,A,,,,infectious diseases,
142,2018,Surgery,,"What is the sensitivity of EEG for detecting brain tumours as per the information given below? Brain tumour EEG result Absent Present Positive 54,000 36 Negative 3,06,000 4 3,60,000 40 (a)  (b)  (c)",90%,85%,0.07%,99.99%,A,,,,,
143,2018,Surgery,,Which sign is most important in deciding severe pneumonia in a child? (a)  (b)  (c),Fast breathing,Nasal flaring,Chest indrawing,Grunting,A,,,,,
144,2018,Surgery,,Varicella-Zoster Immunoglobulin (VZIG) is NOT recommended for which of the exposed susceptible individuals? (a)  (b)  (c),Newborn,HIV/AIDS positive,Healthy sibling,Pregnant women,A,,,,,
145,2018,Surgery,,Carriers of avirulent organism are called: (a)  (b)  (c),Incubatory carriers,Convalescent carriers,Healthy carrier,Pseudo carriers,A,,,,,
146,2018,Preventive & Social Medicine,,"A cohort study was conducted among 200 men aged 20–30 years in Rampur village. Out of 200, 120 men were tobacco users and rest 80 didn’t take any form of tobacco. At the end of one year, 40 men among ",12.5 per 100 men/ year,25.0 per 100 men / year,30.0 per 100 men/ year,33.3 per 100 men/ year,A,,,,infectious diseases,
147,2018,Preventive & Social Medicine,,"The data regarding two exposures A and B, associated with a disease X in a community is given below: Exposure A Exposure B Relative risk 5 10 Attributable risk 80 % 90 % Population attributable risk 7",Preference to control exposure B as it has a higher relative risk,"Preference to control exposure A, because it has a higher population attributable
risk","Preference to control exposure B, because it has a higher attributable risk","Cannot decide, as the precedence of exposure in the community has not been
mentioned",A,,,,,
148,2018,Surgery,,Which of the following types of study designs will be most appropriate to find out the association between mobile phone radiation exposure and cancer? (a)  (b)  (c),Cross-sectional,Case-control,Single-arm interventional,Case-series,A,,,,,
149,2018,Surgery,,The villages A and B have the following age compositions: Age (years) Mid-year population Mid-year population (Village A) (Village B) 0–4 8000 4000 5–9 4000 2000 10–19 5000 3000 20–39 7000 8000 40–59 ,Crude death rate,Age standardized death rate,,,A,,,,,
150,2018,Surgery,,Change in the etiology of the disease Select the correct answer using the codes given below: (a)  (b)  (c),1 and 3 only,1 only,"1, 2 and 3",2 and 3 only,A,,,,,
151,2018,Surgery,,What constitutes the denominator in ‘Total Dependency Ratio’? (a)  (b)  (c),Population 15–45 years of age,Mid year population,Population 15–64 years of age,Population less than 14 and more than 65 years of age,A,,,,,
152,2018,Obstetrics & Gynecology,,A pregnant woman in 2nd trimester of pregnancy from North Eastern State has been diagnosed with uncomplicated P. falciparum. She should be treated with: (a)  (b)  (c),Artemether and Lumefantrine,Artesunate and Sulphadoxine,"Artesunate, Sulphadoxine and Pyrimethamine",Chlorine and Primaquine,A,,,,,
153,2018,Surgery,,By which one of the following studies can relative risk be best calculated? (a)  (b)  (c),Cohort study,Correlation study,Case -control study,Randomised control trial,A,,,,,
154,2018,Surgery,,Orthotolidine (OT) test is done for determining residual free chlorine quantitatively and qualitatively. What is the colour of the solution after adding OT which indicates presence of free chlorine? (,Red,Yellow,Blue,Green,A,,,,,
155,2018,Obstetrics & Gynecology,,Consider the following in respect of Navjat Shishu Suraksha Karyakram(NSSK): 1 It is a programme aimed to train health personnel in basic newborn care and resuscitation 2 It addresses care at birth is,1 and 2 only,1 and 3 only,"1, 2 and 3",2 and 3 only,A,,,,,
156,2018,Preventive & Social Medicine,,The most important indicator for assessment of impact in Salt Iodization Programme is: (a)  (b)  (c),Testing Iodine content of salt at consumer level,Testing Iodine content of salt at production level,Testing median urinary Iodine excretion,Testing serum Iodine levels,A,,,,,
157,2018,Surgery,,Caisson’s disease is usually seen in which group of workers? (a)  (b)  (c),Cotton field agricultural workers,Construction workers under sea level,Workers in manufacture of gas,Workers in radiation units,A,,,,,
158,2018,Surgery,,"These toxic effects like abdominal colic, obstinate constipation, loss of appetite, anaemia, stippling of red cells and blue line on gums are due to exposure to: (a)  (b)  (c)",Carbon monoxide,Asbestos,Lead,Radiation,A,,,,,
159,2018,Preventive & Social Medicine,,Which one of the following conditions can be screened during neonatal screening by biochemical tests? (a)  (b)  (c),Congenital dislocation of hip,Congenital hypothyroidism,Chromosomal abnormalities,Congenital rubella,A,,,,,
160,2018,Surgery,,Which of the following is NOT a mass approach in health communication? (a)  (b)  (c),Folk methods,Role play,Posters,Health exhibition,A,,,,,
161,2018,Surgery,,Genetic factors Select the correct answer using the code given below: (a)  (b)  (c),1 only,1 and 2 only,"1, 2 and 3",2 and 3 only,A,,,,,
162,2018,Surgery,,What is the correct daily dose of Iron and Folic acid to be prescribed to a child aged 12 years? (a)  (b)  (c),20 mg elemental Iron and 100 mcg folic acid,30 mg elemental Iron and 250 mcg folic acid,60 mg elemental Iron and 300 mcg folic acid,100 mg elemental Iron and 500 mcg folic acid,A,,,,,
163,2018,Obstetrics & Gynecology,,When should breastfeeding be initiated to an infant born via a normal delivery? (a)  (b)  (c),Within half an hour,Within one hour of birth,Within 2–4 hours of birth,After 4 hours of birth,A,,,,,
164,2018,Surgery,,As per biomedical waste management rule 2016 the metallic body implants should be discarded in which of the following? (a)  (b)  (c),Yellow colored non-chlorinated plastic bag,Red colored non-chlorinated plastic bag,Card board box with blue colored marking,Separate collection system,A,,,,,
165,2018,Surgery,,Which of the following is NOT a quantitative method in the management of health services? (a)  (b)  (c),Network analysis,Management by objectives,System analysis,Planning programming budgeting system,A,,,,,
166,2018,Surgery,,India is in which stage of the demographic cycle? (a)  (b)  (c),High stationary,Early expanding,Late expanding,Low stationary,A,,,,,
167,2018,Obstetrics & Gynecology,,Manual Vacuum Aspiration (MVA) that has been introduced in primary health centres helps in reducing which of the following indices? (a)  (b)  (c)  (d) Maternal mortality,Infant mortality,Neonatal mortality,Preterm mortality,,A,,,,,
168,2018,Surgery,,The agreement (yes/no) between two observers is statistically measured by: (a)  (b)  (c),Specificity,Sensitivity,Correlation coefficient,Kappa coefficient,A,,,,,
169,2018,Surgery,,How many post natal visits should be made by the ANM to the house of a low birth weight baby? (a)  (b)  (c),2,4,6,8,A,,,,,
170,2018,Preventive & Social Medicine,,The difference between Type A and Type B sub centre as per Indian Public Health standards is in terms of: (a)  (b)  (c),Labour room or delivery facility,Staffing pattern,Location,Availability of drugs,A,,,,,
171,2018,Preventive & Social Medicine,,Which of the following Screening methods for Disease is the least useful? (a)  (b)  (c),Mass screening,High risk group screening,Multiphasic screening,Selective screening,A,,,,,
172,2018,Surgery,,Which one of the following is an indicator for evaluation of impact of family planning? (a)  (b)  (c),Family size,Number of postpartum services availed,Change in behaviour of people,Community needs assessment,A,,,,,
173,2018,Surgery,,Increase in pulse rate Which of the statements given above are correct? (a)  (b)  (c),"1, 3 and 4","1, 2 and 4","1, 2 and 3","2, 3 and 4",A,,,,,
174,2018,Surgery,,Increase in serum calcium levels Select the correct answer using the code given below: (a)  (b)  (c),"1, 2 and 3","1, 2 and 4",1 and 3 only,"2, 3 and 4",A,,,,,
175,2018,Surgery,,Vaginal packing can decrease the risk Select the correct answer using the code given below: (a)  (b)  (c),"1, 2 and 3","2, 3 and 4","1, 3 and 4","1, 2 and 4",A,,,,,
176,2018,Surgery,,Early amniotomy can prevent cord prolapse Select the correct answer using the code given below: (a)  (b)  (c),"1, 2, 3 and 4",1 and 2 only,"1, 2 and 3 only",3 and 4 only,A,,,,,
177,2018,Surgery,,The following are the contents of broad ligament EXCEPT: (a)  (b)  (c),Fallopian tube,Uterine and ovarian arteries with their branches,Ovarian ligament,Internal iIiac artery,A,,,,,
178,2018,Surgery,,Which one of the following is true regarding normal menstrual physiology? (a)  (b)  (c),Ovulation occurs after 48 hours of LH surge,Oestradiol levels peak at 48 hours prior to ovulation,Ovulation occurs after 12 hours of LH peak,Threshold of LH surge generally persists for 48 hours,A,,,,,
179,2018,Surgery,,Which one of the following is NOT a feature of Candida Vaginitis? (a)  (b)  (c),Pruritus is out of proportion to discharge,Discharge is thick and curdy,Yeast-buds and pseudohyphae forms can be seen under the microscope,Metronidazole is the treatment of choice,A,,,,,
180,2018,Surgery,,Which of the following is NOT a high risk factor for developing endometrial carcinoma? (a)  (b)  (c),Delayed menopause,Hypertension,Multiparity,Obesity,A,,,,,
181,2018,Surgery,,All of the following are the features of functional ovarian cyst EXCEPT: (a)  (b)  (c),Usually < 7 cm in diameter,Spontaneous regression occurs,Unilocular,Usually symptomatic,A,,,,,
182,2018,Surgery,,Chorio carcinoma Select the correct answer using the code given below: (a)  (b)  (c),"1, 2 and 3 only","2, 3 and 4 only","1, 2, 3 and 4",1 and 4 only,A,,,,,
183,2018,Surgery,,Which of the following is NOT a component of Fothergill’s operation as a conservative surgery for uterovaginal prolapse? (a)  (b)  (c),Amputation of cervix,Plication of Mackenrodt’s ligaments,Anterior colporrhaphy,Cervicopexy,A,,,,,
184,2018,Obstetrics & Gynecology,,Which one of the following statements is NOT true regarding general physiological changes after delivery? (a)  (b)  (c),Pulse may be raised on first day,Temperature should not be above 99°F,Blood volume returns to normal by second week,Cardiac output remains unchanged after delivery,A,,,,,
185,2018,Surgery,,HbA more than 3.5% is seen in Haemoglobin Electrophoresis 2 Which of the statements given above is/are correct? (a)  (b)  (c),1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",A,,,,,
186,2018,Obstetrics & Gynecology,,"A 20 year old Primigravida, comes at 35 weeks of gestation with complaints of swelling of feet. On examination her blood pressure is 170/110 mm Hg on 2 occasions; urine examination shows proteinuria. ",Can be labelled as Preeclampsia,Requires urgent admission,Injection Dexamethasone is to be given for fetal lung maturity,,A,,,,,
187,2018,Obstetrics & Gynecology,,"A 25 year old, G P L came with amenorrhoea of two and half months followed by bleeding 2 1 1 PV and pain abdomen. On examination cervical OS is open with slight bleeding. The uterus is 10 weeks size w",Ectopic pregnancy,Incomplete abortion,Missed abortion,Inevitable abortion,A,,,,,
188,2018,Surgery,,Which one of the following statements regarding intrauterine growth restriction is NOT correct? (a)  (b)  (c),Defined according to biparietal diameter,Doppler studies are indicated,There is danger of fetal asphyxia during delivery,Generally not seen in women with gestational diabetes,A,,,,,
189,2018,Obstetrics & Gynecology,,"A 15 year old girl comes to the gynae casualty with a relative with complains of amenorrhoea 2 months. The urine pregnancy test is positive, ultrasound confirms 8 weeks pregnancy. The attendants are n",Take consent for abortion and proceed,Inform the police and make MLC,Take parents consent for MTP,None of these,A,,,,,
190,2018,Surgery,,Which of the following is an absolute contraindication for use of oral contraceptive pills? (a)  (b)  (c),Epilepsy,Smoking,Focal Migraine,Bronchial Asthma,A,,,,,
191,2018,Surgery,,The amount of Ethinyl Estradiol in third generation combined oral contraceptive pills is: (a)  (b)  (c),10–20 mcg,20–30 mcg,30–35 mcg,35–50 mcg,A,,,,,
192,2018,Surgery,,Which one of the following clinical situations is NOT ideal to perform female sterilization procedure? (a)  (b)  (c),Postmenstrual period,7 days postpartum,Concurrent with MTP,3 months post abortion,A,,,,,
193,2018,Surgery,,Mitral stenosis Select the correct answer using the code given below: (a)  (b)  (c),1 and 4,2 and 3,1 and 2,3 and 4,A,,,,,
194,2018,Obstetrics & Gynecology,,Pregnancy can be terminated at any gestation if the fetus is diagnosed to have: (a)  (b)  (c),Duodenal atresia,Bilateral talipes,Anencephaly,Hydrocephalus,A,,,,,
195,2018,Obstetrics & Gynecology,,Which one of the following is NOT a cause of recurrent spontaneous abortion? (a)  (b)  (c),Chromosomal abnormality,Antiphospholipid syndrome,Rubella infection,Inherited thrombophillia,A,,,,,
196,2018,Surgery,,Down Syndrome Select the correct answer using the code given below: (a)  (b)  (c),1 only,1 and 3,1 and 2,2 and 3,A,,,,,
197,2018,Obstetrics & Gynecology,,Estimated fetal weight < 3.5 kg Select the correct answer using the code given below: (a)  (b)  (c),"1, 2 and 3 only","1, 2, 3 and 4","1, 3 and 4 only",2 and 4 only,A,,,,,
198,2018,Obstetrics & Gynecology,,Breech presentation In which of the above Vaginal delivery is NOT possible? (a)  (b)  (c),"1, 2 and 3",1 and 3 only,1 only,4 only,A,,,,,
199,2018,Surgery,,Superior vesical artery Select the correct answer using the code given below: (a)  (b)  (c),1 and 2,2 and 4,1 and 3,3 and 4,A,,,,,
200,2018,Surgery,,Which one of the following regarding amniotic fluid is true? (a)  (b)  (c),The volume is highest at 28 weeks,It reveals information about fetal lung maturity and wellbeing,It is decreased in duodenal atresia in baby,It is decreased in gestational diabetes,A,,,,,
201,2018,Surgery,,Total plasma proteins increases Which of the statements given above is/are correct? (a)  (b)  (c),1 only,"1, 2, 3 and 4",1 and 2 only,3 and 4 only,A,,,,,
202,2018,Obstetrics & Gynecology,,Which one of the following statements regarding anatomy of fetal head is NOT true? (a)  (b) Lambdoid suture separates the two parietal bones,Coronal suture separates frontal bones from parietal bones,Bregma is a diamond shaped space at junction of coronal and sagittal sutures,Frontal suture separates the two frontal bones,,A,,,,,
203,2018,Surgery,,Vaginal hysterectomy Select the correct answer using the codes given below: (a)  (b)  (c),1 and 3 only,"1, 2 and 3",3 only,"1, 2 and 4",A,,,,,
204,2018,Surgery,,A 50 year old post menopausal woman comes with complaints of bleeding per vaginum. Which one of the following investigations is NOT required? (a)  (b)  (c),Endometrial biopsy,Diagnostic laproscopy,Hysteroscopy,Pap smear,A,,,,,
205,2018,Surgery,,"It has common and Alpha-sub unit with other hormones FSH, LH and TSH. Select the correct answer using the codes given below: (a)  (b)  (c)","1, 2 and 4","1, 2 and 3","2, 3 and 4","1, 3 and 4",A,,,,,
206,2018,Obstetrics & Gynecology,,Which one of the following is NOT an emergency contraception method? (a)  (b)  (c),Levenorgestrel,Norplant,Intra uterine contraceptive device,High dose oral contraceptive pill,A,,,,,
207,2018,Obstetrics & Gynecology,,All of the following statements are correct about vasectomy EXCEPT: a) No Scalpel Vasectomy NSV) was first developed in China. b)  c)  d) Addition contraception should be used for 3 months after vasec,(,It increases the incidence of testicular cancer,It is less time consuming than tubectomy,,A,,,,,
208,2018,Obstetrics & Gynecology,,Which of the statement regarding anemia in pregnancy is NOT true? (a)  (b)  (c)  (d)  (a) It is safer and less expensive (b) Most men develop antisperm antibodies (c) It has a low failure rate (d) It ,Iron deficiency anemia is most common in Tropics,Faulty dietary habit is one of the factors responsible for anemia,Mild anemia is most common,"If mother is severely anemic, the fetus is also severely anemic
77
Which one of the following statements about male sterilization is NOT true?",A,,,,hematology,
209,2018,Obstetrics & Gynecology,,Which of the following is NOT a method of second Trimester abortion? (a)  (b)  (c),"Mifepristone and PGE
1","PGE analog
2",Intra-amniotic KCl instillation,Hysterotomy,A,,,,,
210,2018,Obstetrics & Gynecology,,"In the process of MTP (Medical Termination of Pregnancy) done by suction and evacuation, it was realized that perforation of uterus occurred with cannula. The next step should be: (a)  (b)  (c)  (d) C",Laparotomy with exploration of bowel,Manual vacuum aspiration,Wait and watch,,A,,,,,
211,2018,Surgery,,Manual vacuum aspiration (MVA) syringe can be used up to 6 weeks Which of the statements given above is/are correct? (a)  (b)  (c)  (d) 1 and 3,1 only,2 and 3,2 only,,A,,,,,
212,2018,Surgery,,Cellulitis is: (a)  (b)  (c),A suppurative invasive infection of skin and subcutaneous tissues,A nonsuppurative invasive infection of tissues,Infection caused by Gram negative bacilli,Infection caused by anaerobic Streptococci,A,,,,,
213,2018,Surgery,,"Following are the factors for increased risk of wound infection EXCEPT: a) Malnutrition b)  c) Metabolic diseases diabetes, uraemia) d) Immunosuppression",(,Good blood supply,"Metabolic diseases (diabetes, uraemi",,A,,,,endocrinology,
214,2018,Surgery,,A 25 year old lady underwent exploratory laparotomy for bowel injury which happened while she underwent medical termination of pregnancy 2 days back. 24 hours after exploratory laparotomy her pulse is,Wound infection,Systematic inflammatory response syndrome,Sepsis syndrome,Multisystem organ failure (MSOF),A,,,,,
215,2018,Surgery,,"A 22 year old young man came with history of occasional bleeding per rectum. On colonoscopy, numerous sessile polyps were seen in descending and sigmoid colon. On family history his elder brother was ",Prophylactic panproctocolectomy,Prophylactic anterior resection,Surveillance colonoscopy every 6 months,Colonoscopic removal of all polyps,A,,,,endocrinology,
216,2018,Surgery,,A 47 year old post menopausal lady was on adjuvant hormonal treatment with Tamoxifen for 3 years for Carcinoma Breast. She came to Outpatient Department with history of passing blood clots per vagina.,Carcinoma Vulva,Carcinoma Vagina,Carcinoma Endometrium,,A,,,,,
217,2018,Surgery,,Which of the following regarding blood supply of rectum is NOT true? (a)  (b)  (c),Superior rectal artery is a direct continuation of Inferior mesenteric artery,"Middle rectal artery arises from external iliac artery and passes through the lateral
ligaments into rectum",Inferior rectal artery arises from internal pudendal artery,Inferior rectal artery traverses the Alcock’s canal into rectum,A,,,,,
218,2018,Surgery,,Gastric conduit after oesophageal resection is based upon: (a)  (b)  (c),Right Gastroepiploic artery,Short gastric vessels and Vasa brevia,Left gastric artery,Right gastric artery,A,,,,,
219,2018,Surgery,,A 70 year old male having comorbidities present with benign appearing parotoid tumour. The best option is: (a)  (b)  (c),Tumour enucleation,Superficial Parotidectomy,Aspiration biopsy confirmation,Radio therapy,A,,,,,
220,2018,Surgery,,Fine Needle Aspiration Cytology (FNAC) is NOT conclusive in which one of the following thyroid swellings? (a)  (b)  (c)  (d) Thyroiditis,Papillary carcinoma thyroid,Follicular carcinoma thyroid,Medullary carcinoma thyroid,,A,,,,endocrinology,
221,2018,Surgery,,Patients with phlebographically confirmed deep vein thrombosis of the calf: (a)  (b)  (c),can expect asyptomatic recovery if treated promptly with anticoagulant,may be effectively treated with low-dose heparin,may be effectively treated with pneumatic compression stockings,are at risk for significant pulmonary embolism,A,,,,,
222,2018,Surgery,,Herceptin (Trastuzumab) is an immunotherapeuctic agent used for: (a)  (b)  (c)  (d) Ovarian malignancy,Carcinoma prostrate,Carcinoma breast,Carcinoma rectum,,A,,,,,
223,2018,Surgery,,Mainstay of an accurate diagnosis of pancreatic injury following blunt abdominal trauma is: (a)  (b)  (c),Computed Tomogram,Diagnostic peritoneal lavage,USG abdomen,MRI abdomen,A,,,,,
224,2018,Surgery,,Pancreatic pseudocysts developing complications are best managed by: (a)  (b)  (c),Conservative treatment,Radiologically guided interventions,External drainage,Surgery,A,,,,,
225,2018,Surgery,,Which one of the following regarding absorbable meshes is NOT true? (a)  (b)  (c),They are made of polygycolic acid fibre,They are used in temporary abdominal wall closure,They are used to buttress sutured repair,They show very good results as collagen deposition is maximum,A,,,,,
226,2018,Surgery,,Which one of the following is NOT a surgical modality for management of femoral hernia? a)  b)  c) d) d) The canal ring narrowing operation Lytle’s),Lotheissen’s (Inguinal) operation,The high approach (Mc Evedy),The low approach (Lockwoo,(,A,,,,,
227,2018,Surgery,,“Triangle of Doom” dissected and seen during Laparoscopic inguinal hernia repair is bounded by all EXCEPT: (a)  (b)  (c),Vas deference,Cord structures,Peritoneal fold,Inferior epigastric artery,A,,,,,
228,2018,Surgery,,Antro-chonal polyp always arises from: (a)  (b)  (c),Maxillary sinus,Posterior ethmoidal cells,Posterior end of the septum,Nasopharynx,A,,,,,
229,2018,Surgery,,Paralytic ileus is a type of: (a)  (b)  (c),Dynamic obstruction,Adynamic obstruction,Inflammatory obstruction,Drug induced obstruction,A,,,,,
230,2018,Surgery,,Indication of Coronary artery bypass grafting (CABG) is: (a)  (b)  (c),More than 25% stenosis of critical left main stem,More than 25% stenosis of proximal left anterior interventricular artery,Triple vessel disease,Deranged Stress Echocardiography report,A,,,,,
231,2018,Surgery,,Normal anatomical narrowing of ureter are present in all EXCEPT: (a)  (b)  (c),Ureteropelvic junction,Crossing the abdominal aorta,Entering bladder wall,Ureteric orifice,A,,,,,
232,2018,Surgery,,Which one of the following regarding abdominal paediatric surgery is correct? (a) (b)  (c),Transverse abdominal incision is always used,Incision can be closed with absorbable suture,Bowel must be always anastomosed in double layer,Skin over abdomen can never be closed with subcuticular sutures,A,,,,,
233,2018,Surgery,,Genetic disorder predisposing patients to develop Berry aneurysm includes all EXCEPT: (a)  (b)  (c),Adult polycystic kidney,Fibromuscular dysplasia,Neurofibromatosis Type II,Marfan’s syndrome,A,,,,,
234,2018,Surgery,,Which one of the following regarding Nasal polyps is NOT true? (a)  (b)  (c),Nasal polyps are very painful to touch,Simple polyps are bilateral,Bleeding polyp may indicate malignancy,Meningocele must be excluded in children with polyps,A,,,,,
235,2018,Surgery,,Allen’s test is used in Cardiac surgery: (a)  (b)  (c),To select finger prick for blood glucose estimation,When radial artery harvest is planned,For evaluation of AV fistula,To check warmth of hands,A,,,,,
236,2018,Surgery,,"In a lateral facial wound, if facial nerve injury is suspected, it should be: (a)  (b)  (c)",Left alone,Skin and subcutaneous flaps to be raised to cover the cut ends,Primary repair should be attempted,Secondary repair using microscope gives best result,A,,,,,
237,2018,Surgery,,Radiologic views used for fracture Mandible (body and Ramus) are all EXCEPT: (a)  (b)  (c),Orthopantomogram,Lateral obliques,Lower occlusal,Submentovertex,A,,,,,
238,2018,Surgery,,Mallory-Weiss tear causing haematemesis is seen over: (a)  (b)  (c),Oesophagus,Gastroesophageal junction,Anterior wall of stomach,Fundus of stomach,A,,,,,
239,2018,Surgery,,Which one of the following factors is NOT involved in the pathogenesis of Systematic inflammatory response syndrome (SIRS)? (a)  (b)  (c),Increased cytokine production,Abnormal nitric oxide synthesis,Free radical production,Microvascular occlusion,A,,,,,
240,2018,Surgery,,Sleeve Gastrectomy done for Morbid obesity is a: (a)  (b)  (c),Restrictive procedure,Reversible procedure,Mildly restrictive and mainly malabsorptive,Malabsorptive procedure only,A,,,,,
241,2018,Preventive & Social Medicine,,Pre-operative Nutrition Screening in a patient with morbid obesity planned for Gastric Bypass includes all EXCEPT: (a)  (b)  (c),Serum Magnesium,Serum Calcium,"Serum Vitamin B
12",Serum Insulin,A,,,,,
242,2018,Surgery,,In postoperative care the long term risks after Bariatric Surgery include all EXCEPT: (a)  (b)  (c),Protein Calorie Malnutrition,Deep Vein Thrombosis,Vitamin and Micronutrient depletion syndromes,Weight regain,A,,,,,
243,2018,Surgery,,Hilton’s method of Incision and drainage of abscess has the advantage of: (a)  (b)  (c),Complete drainage of pus,Avoids injury to underlying vessels and nerves,Provides irrigation,Heals without scar,A,,,,,
244,2018,Surgery,,Indications of computed tomography after head injury include all EXCEPT: (a)  (b)  (c),Glasgow Coma Scale < 13 at any point,Open depressed fracture,Mild head injury in a 50 year old man,Amnesia > 30 minutes,A,,,,,
245,2018,Surgery,,Mondor’s disease is: (a)  (b)  (c),Thrombophlebitis of superficial veins of the breast and anterior chest wall,Other name for tuberculosis of breast,Rare type of chronic intramammary abscess,Named after the scientist who first coined the term “Actinomycosis of Breast”,A,,,,,
246,2018,Surgery,,Sengstaken-Blakemore tube is used to control bleeding in: (a)  (b)  (c),Renal trauma,Bleeding varices,Splenic injury in portal hypertension,Duodenal ulcer bleed,A,,,,,
247,2018,Surgery,,Which one of the following regarding Pancreatic effusion is correct? (a)  (b)  (c),Free fluid collection in Pleural cavity,Never associated with abdominal collection,Pancreatic stenting is to be done,Percutaneous drainage under image guidance is necessary,A,,,,,
248,2018,Surgery,,Which one of the following bone is affected in Keinbock’s disease? (a)  (b)  (c),Lunate bone,Capitellum of the humerus,Metatarsal,Navicular bone,A,,,,,
249,2018,Surgery,,Which one of the following regarding management of acute wounds is NOT true? (a)  (b)  (c),The whole patient should be examined according to ATLS principles,"Wounds should be examined, taking into consideration site and structures
damaged",Bleeding wounds should be elevated and a pressure pad applied,Clamps should be used to stop all bleeding vessels,A,,,,,
250,2018,Surgery,,Risk Scoring System which can be used post operatively is: (a)  (b)  (c),ASA → American Society of Anaesthesiologist,MET → Metabolic Equivalent Task,RCRI → Revised Cardiac Risk Index,"POSSUM → Physiologic and operative severity Score for enUmeration of
Mortality and Morbidity",A,,,,,
